округ,область
Центральный,Белгородская область
Центральный,Брянская область
Центральный,Владимирская область
Центральный,Воронежская область
Центральный,Ивановская область
Центральный,Калужская область
Центральный,Костромская область
Центральный,Курская область
Центральный,Липецкая область
Центральный,Московская область
Центральный,Орловская область
Центральный,Рязанская область
Центральный,Смоленская область
Центральный,Тамбовская область
Центральный,Тверская область
Центральный,Тульская область
Центральный,Ярославская область
Центральный,Город федерального значения Москва
Приволжский,Республика Башкортостан
Приволжский,Республика Марий Эл
Приволжский,Республика Мордовия
Приволжский,Республика Татарстан
Приволжский,Удмуртская Республика
Приволжский,Чувашская Республика
Приволжский,Пермский край
Приволжский,Кировская область
Приволжский,Нижегородская область
Приволжский,Оренбургская область
Приволжский,Пензенская область
Приволжский,Самарская область
Приволжский,Саратовская область
Приволжский,Ульяновская область
Северо-Западный,Республика Карелия
Северо-Западный,Республика Коми
Северо-Западный,Архангельская область
Северо-Западный,Вологодская область
Северо-Западный,Калининградская область
Северо-Западный,Ленинградская область
Северо-Западный,Мурманская область
Северо-Западный,Новгородская область
Северо-Западный,Псковская область
Северо-Западный,Санкт-Петербург Город федерального значения
Северо-Западный,Ненецкий автономный округ
Уральский,Курганская область
Уральский,Свердловская область
Уральский,Тюменская область
Уральский,Челябинская область
Уральский,Ханты-Мансийский автономный округ — Югра
Уральский,Ямало-Ненецкий автономный округ
Сибирский,Республика Алтай
Сибирский,Тыва Республика
Сибирский,Хакасия Республика
Сибирский,Алтайский край
Сибирский,Флаг Красноярского края Красноярский край
Сибирский,Иркутская область
Сибирский,Кемеровская область — Кузбасс
Сибирский,Новосибирская область
Сибирский,Омская область
Сибирский,Томская область
Южный,Адыгея Республика
Южный,Флаг Калмыкии Республика Калмыкия
Южный,Крым Республика Крым[13]
Южный,Краснодарский край
Южный,Астраханская область
Южный,Волгоградская область
Южный,Ростовская область
Южный,Севастополь Город федерального значения Севастополь[13]
Дальневосточный,Бурятия Республика
Дальневосточный,Якутия Республика Саха (Якутия)
Дальневосточный,Забайкальский край
Дальневосточный,Камчатский край
Дальневосточный,Приморский край
Дальневосточный,Хабаровский край
Дальневосточный,Амурская область
Дальневосточный,Магаданская область
Дальневосточный,Сахалинская область
Дальневосточный,Еврейская автономная область
Дальневосточный,Чукотский автономный округ
Северо-Кавказский,Республика Дагестан
Северо-Кавказский,Ингушетия Республика
Северо-Кавказский,Кабардино-Балкария Кабардино-Балкарская Республика
Северо-Кавказский,Карачаево-Черкесия Карачаево-Черкесская Республика
Северо-Кавказский,Северная Осетия Республика — Алания
Северо-Кавказский,Флаг Чечни Чеченская Республика
Северо-Кавказский,Ставропольский край
